lsoa_code,e_i,u_i,V_i,london_income_decile,mismatch_category
E01002967,6,0.0108183942040037,766.0,10,Apparently adequate
E01002968,1,0.0039027777777777,773.0,8,Apparently adequate
E01002969,5,0.0060649691358024,436.0,2,Apparently adequate
E01002970,5,0.0,601.0,4,Apparently adequate
E01002971,6,0.0229195601846707,645.0,7,Saturated / potentially underprovided
E01002972,2,0.0,566.0,6,Apparently adequate
E01002973,1,0.0079857253082561,523.0000000000001,3,Apparently adequate
E01002974,10,0.0077641975307098,640.0,7,Apparently adequate
E01002975,1,0.0145237268512731,706.0,7,Apparently adequate
E01002976,0,,827.0,9,Demand-implied desert
E01002977,2,0.0,729.9999999999999,5,Apparently adequate
E01002978,1,0.0130449459868827,969.0,9,Apparently adequate
E01002979,0,,792.0,8,Demand-implied desert
E01002980,0,,726.0,9,Demand-implied desert
E01002981,0,,803.9999999999999,8,Demand-implied desert
E01002982,0,,722.0,8,Demand-implied desert
E01002983,0,,893.0,10,Demand-implied desert
E01002984,3,0.0127316100823045,618.0,6,Apparently adequate
E01002985,4,0.0070442708331404,622.9999999999999,5,Apparently adequate
E01002986,2,0.0488952546253858,640.0,7,Saturated / potentially underprovided
E01002987,3,0.0164293552806927,610.0,7,Saturated / potentially underprovided
E01002988,2,0.0,520.0,9,Apparently adequate
E01002989,8,0.0026184413580246,780.0,10,Apparently adequate
E01002990,6,0.013549125513921,657.0,9,Apparently adequate
E01002991,4,0.1284077932086227,652.0000000000001,10,Saturated / potentially underprovided
E01002992,4,0.0053529128086419,473.99999999999994,9,Apparently adequate
E01002993,3,0.0167438271602366,582.0,8,Saturated / potentially underprovided
E01002994,0,,723.0000000000001,9,Demand-implied desert
E01002995,0,,735.0,10,Demand-implied desert
E01002996,4,0.0112269483023726,682.0,9,Apparently adequate
E01002997,1,0.0138848379625771,723.0000000000001,10,Apparently adequate
E01002998,5,0.0229641203699074,609.9999999999999,6,Saturated / potentially underprovided
E01002999,2,0.0066552854938271,536.0,7,Apparently adequate
E01003000,2,0.0440418595671296,857.0,6,Saturated / potentially underprovided
E01003001,0,,879.0,7,Demand-implied desert
E01003002,1,0.0034706790119598,805.0,5,Apparently adequate
E01003003,3,0.0134107081615226,682.0,6,Apparently adequate
E01003004,4,0.0189174864950327,774.0,7,Saturated / potentially underprovided
E01003005,0,,846.0,9,Demand-implied desert
E01003006,1,0.0,668.0,9,Apparently adequate
E01003007,2,0.0072336033948688,718.0,9,Apparently adequate
E01003008,6,0.006635223765432,626.0,10,Apparently adequate
E01003009,4,0.0198092206786265,870.0,8,Saturated / potentially underprovided
E01003010,1,0.0,667.0,10,Apparently adequate
E01003011,12,0.0307833504795739,682.0000000000001,10,Saturated / potentially underprovided
E01003013,3,0.0004245113166152,186.99999999999997,10,Apparently adequate
E01003014,6,0.0363338477354681,210.00000000000003,5,Saturated / potentially underprovided
E01003015,2,0.0393809799378858,280.0,4,Saturated / potentially underprovided
E01003016,2,0.0378501157391975,162.0,8,Saturated / potentially underprovided
E01003017,6,0.038121656377572,265.0,6,Saturated / potentially underprovided
E01003018,14,0.007895461309386,391.0,8,Apparently adequate
E01003019,4,0.017108989197145,479.00000000000006,8,Saturated / potentially underprovided
E01003020,7,0.0080723655200617,314.99999999999994,5,Apparently adequate
E01003021,5,0.0089269290121656,323.0,6,Apparently adequate
E01003022,7,0.0289280478387621,400.00000000000006,6,Saturated / potentially underprovided
E01003023,6,0.1164350565824331,472.99999999999994,6,Saturated / potentially underprovided
E01003024,0,,317.99999999999994,4,"Low-demand, no provision"
E01003025,2,0.0121523919751157,477.0,6,Apparently adequate
E01003026,5,0.0069912808640046,395.0,9,Apparently adequate
E01003027,5,0.0549694058625385,475.0,10,Saturated / potentially underprovided
E01003028,8,0.0207869164733796,441.00000000000006,8,Saturated / potentially underprovided
E01003029,4,0.0222183641963734,421.0,7,Saturated / potentially underprovided
E01003030,3,0.0102182355960648,436.99999999999994,8,Apparently adequate
E01003031,2,0.011684510030189,283.0,6,Apparently adequate
E01003032,0,,377.0,4,"Low-demand, no provision"
E01003033,6,0.0496916795250128,490.0,8,Saturated / potentially underprovided
E01003034,3,0.040597222221965,361.0,5,Saturated / potentially underprovided
E01003035,1,0.0551134259255401,299.99999999999994,7,Saturated / potentially underprovided
E01003036,8,0.0221727671675588,394.0,8,Saturated / potentially underprovided
