lsoa_code,lsoa_name,ej,seff,ubar_i,has_evse_i,desert_condition
E01000777,Bromley 024D,0,0.0,,False,A_true_desert
E01000778,Bromley 024E,0,0.0,,False,A_true_desert
E01000808,Bromley 025A,0,0.0,,False,A_true_desert
E01000810,Bromley 025B,0,0.0,,False,A_true_desert
E01000811,Bromley 025C,0,0.0,,False,A_true_desert
E01000813,Bromley 025D,0,0.0,,False,A_true_desert
E01000815,Bromley 025E,0,0.0,,False,A_true_desert
E01000661,Bromley 026A,0,0.0,,False,A_true_desert
E01000662,Bromley 026B,0,0.0,,False,A_true_desert
E01000663,Bromley 026C,0,0.0,,False,A_true_desert
E01000664,Bromley 026D,0,0.0,,False,A_true_desert
E01000763,Bromley 027A,0,0.0,,False,A_true_desert
E01000764,Bromley 027B,0,0.0,,False,A_true_desert
E01000766,Bromley 027C,0,0.0,,False,A_true_desert
E01000767,Bromley 027D,0,0.0,,False,A_true_desert
E01000834,Bromley 027E,0,0.0,,False,A_true_desert
E01000727,Bromley 028A,0,0.0,,False,A_true_desert
E01000734,Bromley 028B,0,0.0,,False,A_true_desert
E01000790,Bromley 028C,1,0.0,0.0,True,B_underutilised
E01000812,Bromley 028D,0,0.0,,False,A_true_desert
E01000814,Bromley 028E,0,0.0,,False,A_true_desert
E01000723,Bromley 029A,0,0.0,,False,A_true_desert
E01000726,Bromley 029B,0,0.0,,False,A_true_desert
E01000787,Bromley 029C,0,0.0,,False,A_true_desert
E01000788,Bromley 029D,0,0.0,,False,A_true_desert
E01000791,Bromley 029E,0,0.0,,False,A_true_desert
E01000832,Bromley 030A,0,0.0,,False,A_true_desert
E01000835,Bromley 030B,3,1.2869047619047618,0.21448412698412697,True,normal
E01000836,Bromley 030C,0,0.0,,False,A_true_desert
E01000837,Bromley 030D,0,0.0,,False,A_true_desert
E01000838,Bromley 030E,0,0.0,,False,A_true_desert
E01000839,Bromley 030F,0,0.0,,False,A_true_desert
E01000840,Bromley 030G,0,0.0,,False,A_true_desert
E01000841,Bromley 030H,3,1.2172619047619044,0.20287698412698407,True,normal
E01000753,Bromley 031A,0,0.0,,False,A_true_desert
E01000754,Bromley 031B,0,0.0,,False,A_true_desert
E01000755,Bromley 031C,0,0.0,,False,A_true_desert
E01000757,Bromley 031D,0,0.0,,False,A_true_desert
E01000758,Bromley 031E,0,0.0,,False,A_true_desert
E01000786,Bromley 032A,0,0.0,,False,A_true_desert
E01000789,Bromley 032B,0,0.0,,False,A_true_desert
E01000792,Bromley 032C,0,0.0,,False,A_true_desert
E01000793,Bromley 032D,0,0.0,,False,A_true_desert
E01000795,Bromley 032E,0,0.0,,False,A_true_desert
E01000665,Bromley 033A,0,0.0,,False,A_true_desert
E01000666,Bromley 033B,0,0.0,,False,A_true_desert
E01000667,Bromley 033C,0,0.0,,False,A_true_desert
E01000756,Bromley 033D,0,0.0,,False,A_true_desert
E01000759,Bromley 034A,0,0.0,,False,A_true_desert
E01000760,Bromley 034B,1,0.0,0.0,True,B_underutilised
E01000761,Bromley 034C,0,0.0,,False,A_true_desert
E01000765,Bromley 034D,0,0.0,,False,A_true_desert
E01000768,Bromley 034E,0,0.0,,False,A_true_desert
E01000681,Bromley 035A,0,0.0,,False,A_true_desert
E01000682,Bromley 035B,0,0.0,,False,A_true_desert
E01000683,Bromley 035C,0,0.0,,False,A_true_desert
E01000684,Bromley 035D,0,0.0,,False,A_true_desert
E01000794,Bromley 035E,0,0.0,,False,A_true_desert
E01000749,Bromley 036A,0,0.0,,False,A_true_desert
E01000750,Bromley 036B,0,0.0,,False,A_true_desert
E01000751,Bromley 036C,0,0.0,,False,A_true_desert
E01000752,Bromley 036D,0,0.0,,False,A_true_desert
E01000680,Bromley 037A,0,0.0,,False,A_true_desert
E01000685,Bromley 037B,1,0.1342261904761904,0.1342261904761904,True,normal
E01000686,Bromley 037C,0,0.0,,False,A_true_desert
E01000687,Bromley 037D,0,0.0,,False,A_true_desert
E01000688,Bromley 037E,0,0.0,,False,A_true_desert
E01000654,Bromley 039A,0,0.0,,False,A_true_desert
E01000655,Bromley 039B,0,0.0,,False,A_true_desert
E01000656,Bromley 039C,0,0.0,,False,A_true_desert
E01000657,Bromley 039D,0,0.0,,False,A_true_desert
E01000659,Bromley 039E,0,0.0,,False,A_true_desert
E01000816,Bromley 040A,0,0.0,,False,A_true_desert
E01000818,Bromley 040B,0,0.0,,False,A_true_desert
E01000819,Bromley 040C,2,0.9834325396825396,0.2458581349206349,True,normal
E01032562,Bromley 040D,0,0.0,,False,A_true_desert
E01032563,Bromley 040E,0,0.0,,False,A_true_desert
E01000707,Bromley 041A,1,0.4764880952380951,0.15882936507936504,True,normal
E01000708,Bromley 041B,1,0.2075396825396824,0.1037698412698412,True,normal
E01000771,Bromley 041C,0,0.0,,False,A_true_desert
E01000774,Bromley 041D,0,0.0,,False,A_true_desert
E01032568,Bromley 041E,0,0.0,,False,A_true_desert
E01000658,Bromley 042A,0,0.0,,False,A_true_desert
E01000747,Bromley 042B,0,0.0,,False,A_true_desert
E01000748,Bromley 042C,0,0.0,,False,A_true_desert
