lsoa_code,lsoa_name,e_i,S_eff_i,U_i,n_evse,n_active_evse,n_active_locations,has_evse_i
E01002159,Harrow 021A,3,0.31226774690239195,0.10408924896746398,3,3,3,True
E01002160,Harrow 021B,9,0.20904822530208333,0.02322758058912037,9,9,9,True
E01002161,Harrow 021C,0,0.0,,0,0,0,False
E01002162,Harrow 015C,0,0.0,,0,0,0,False
E01002163,Harrow 015D,0,0.0,,0,0,0,False
E01002164,Harrow 021D,0,0.0,,0,0,0,False
E01002165,Harrow 017A,0,0.0,,0,0,0,False
E01002166,Harrow 017B,0,0.0,,0,0,0,False
E01002167,Harrow 017C,0,0.0,,0,0,0,False
E01002168,Harrow 017D,0,0.0,,0,0,0,False
E01002169,Harrow 017E,0,0.0,,0,0,0,False
E01002170,Harrow 033A,0,0.0,,0,0,0,False
E01002171,Harrow 033B,0,0.0,,0,0,0,False
E01002172,Harrow 033C,0,0.0,,0,0,0,False
E01002173,Harrow 033D,0,0.0,,0,0,0,False
E01002174,Harrow 033E,0,0.0,,0,0,0,False
E01002175,Harrow 033F,0,0.0,,0,0,0,False
E01002176,Harrow 033G,0,0.0,,0,0,0,False
E01002177,Harrow 033H,0,0.0,,0,0,0,False
E01002178,Harrow 033I,0,0.0,,0,0,0,False
E01002179,Harrow 013A,0,0.0,,0,0,0,False
E01002181,Harrow 020C,0,0.0,,0,0,0,False
E01002182,Harrow 020D,0,0.0,,0,0,0,False
E01002183,Harrow 013C,2,0.04681867283487654,0.02340933641743827,2,2,2,True
E01002184,Harrow 013D,1,0.04286265431635802,0.04286265431635802,1,1,1,True
E01002185,Harrow 009A,0,0.0,,0,0,0,False
E01002186,Harrow 009B,0,0.0,,0,0,0,False
E01002187,Harrow 009C,0,0.0,,0,0,0,False
E01002188,Harrow 016A,0,0.0,,0,0,0,False
E01002189,Harrow 016B,0,0.0,,0,0,0,False
E01002190,Harrow 009D,0,0.0,,0,0,0,False
E01002191,Harrow 022A,0,0.0,,0,0,0,False
E01002192,Harrow 016C,0,0.0,,0,0,0,False
E01002193,Harrow 016D,0,0.0,,0,0,0,False
E01002194,Harrow 022B,0,0.0,,0,0,0,False
E01002195,Harrow 022C,0,0.0,,0,0,0,False
E01002196,Harrow 022D,0,0.0,,0,0,0,False
E01002197,Harrow 012B,0,0.0,,0,0,0,False
E01002198,Harrow 010C,0,0.0,,0,0,0,False
E01002199,Harrow 012C,0,0.0,,0,0,0,False
E01002200,Harrow 010D,0,0.0,,0,0,0,False
E01002201,Harrow 012D,0,0.0,,0,0,0,False
E01002202,Harrow 012E,0,0.0,,0,0,0,False
E01002203,Harrow 010E,0,0.0,,0,0,0,False
E01002204,Harrow 032A,0,0.0,,0,0,0,False
E01002206,Harrow 032B,2,0.13136805555092593,0.06568402777546296,2,1,1,True
E01002207,Harrow 032C,0,0.0,,0,0,0,False
E01002208,Harrow 025A,0,0.0,,0,0,0,False
E01002209,Harrow 025B,0,0.0,,0,0,0,False
E01002210,Harrow 032D,0,0.0,,0,0,0,False
E01002211,Harrow 028A,0,0.0,,0,0,0,False
E01002212,Harrow 028B,0,0.0,,0,0,0,False
E01002214,Harrow 031A,0,0.0,,0,0,0,False
E01002215,Harrow 031B,0,0.0,,0,0,0,False
E01002216,Harrow 028C,0,0.0,,0,0,0,False
E01002217,Harrow 028D,1,0.054010416665123455,0.054010416665123455,1,1,1,True
E01002218,Harrow 030A,0,0.0,,0,0,0,False
E01002219,Harrow 030B,0,0.0,,0,0,0,False
E01002220,Harrow 031C,0,0.0,,0,0,0,False
E01002221,Harrow 030C,0,0.0,,0,0,0,False
E01002222,Harrow 030D,1,0.0,0.0,1,0,0,True
E01002223,Harrow 031D,0,0.0,,0,0,0,False
E01002224,Harrow 031E,0,0.0,,0,0,0,False
E01002225,Harrow 001C,0,0.0,,0,0,0,False
E01002226,Harrow 001D,0,0.0,,0,0,0,False
E01002227,Harrow 003A,0,0.0,,0,0,0,False
E01002228,Harrow 003B,0,0.0,,0,0,0,False
E01002229,Harrow 003C,0,0.0,,0,0,0,False
E01002230,Harrow 003D,0,0.0,,0,0,0,False
E01002231,Harrow 013E,0,0.0,,0,0,0,False
E01002232,Harrow 011A,0,0.0,,0,0,0,False
E01002233,Harrow 011B,0,0.0,,0,0,0,False
E01002234,Harrow 011C,0,0.0,,0,0,0,False
E01002235,Harrow 011D,0,0.0,,0,0,0,False
E01002236,Harrow 011E,0,0.0,,0,0,0,False
E01002237,Harrow 024A,0,0.0,,0,0,0,False
E01002238,Harrow 024B,2,0.027724537035108025,0.013862268517554012,2,1,1,True
E01002239,Harrow 025C,0,0.0,,0,0,0,False
E01002240,Harrow 024C,4,0.1730509259228395,0.04326273148070987,4,4,4,True
E01002241,Harrow 025D,0,0.0,,0,0,0,False
E01002242,Harrow 024D,0,0.0,,0,0,0,False
E01002243,Havering 013A,1,0.0,0.0,2,0,0,True
E01002244,Havering 011A,0,0.0,,0,0,0,False
E01002245,Havering 011B,0,0.0,,0,0,0,False
E01002246,Havering 017A,0,0.0,,0,0,0,False
E01002247,Havering 017B,0,0.0,,0,0,0,False
E01002248,Havering 017C,0,0.0,,0,0,0,False
E01002250,Havering 017E,0,0.0,,0,0,0,False
E01002251,Havering 017F,0,0.0,,0,0,0,False
E01002252,Havering 018A,0,0.0,,0,0,0,False
E01002253,Havering 019A,0,0.0,,0,0,0,False
E01002254,Havering 019B,0,0.0,,0,0,0,False
E01002255,Havering 022A,0,0.0,,0,0,0,False
E01002256,Havering 018B,0,0.0,,0,0,0,False
E01002257,Havering 019C,0,0.0,,0,0,0,False
E01002258,Havering 018C,0,0.0,,0,0,0,False
E01002259,Havering 018D,0,0.0,,0,0,0,False
E01002260,Havering 026A,0,0.0,,0,0,0,False
E01002261,Havering 026B,0,0.0,,0,0,0,False
E01002262,Havering 026C,0,0.0,,0,0,0,False
E01002263,Havering 026D,0,0.0,,0,0,0,False
E01002264,Havering 026E,0,0.0,,0,0,0,False
E01002265,Havering 025A,0,0.0,,0,0,0,False
E01002266,Havering 027A,0,0.0,,0,0,0,False
E01002267,Havering 027B,0,0.0,,0,0,0,False
E01002268,Havering 010A,0,0.0,,0,0,0,False
E01002269,Havering 010B,0,0.0,,0,0,0,False
E01002270,Havering 015A,0,0.0,,0,0,0,False
E01002271,Havering 015B,0,0.0,,0,0,0,False
E01002272,Havering 014A,0,0.0,,0,0,0,False
E01002273,Havering 015C,0,0.0,,0,0,0,False
