lsoa_code,lsoa_name,driving_age_pop,income_score,income_decile,D_A,D_B,D_C,D_D
E01000116,Barnet 009B,1341,0.132,7,166.284,168.4789488,172.8688464,177.258744
E01000117,Barnet 010A,1383,0.137,7,171.49200000000002,173.84144040000004,178.5403212,183.23920200000003
E01000118,Barnet 010B,1629,0.159,6,201.996,205.20773640000002,211.63120920000003,218.05468199999999
E01000119,Barnet 009C,1444,0.13,7,179.056,181.383728,186.039184,190.69464
E01000120,Barnet 009D,1206,0.121,7,149.544,151.35348240000002,154.9724472,158.59141200000002
E01000121,Barnet 010C,1197,0.335,3,148.428,153.400338,163.345014,173.28969
E01000122,Barnet 009E,1184,0.138,7,146.816,148.8420608,152.8941824,156.946304
E01000123,Barnet 010D,1415,0.223,5,175.46,179.372758,187.198274,195.02379
E01000124,Barnet 010E,1448,0.313,3,179.55200000000002,185.17197760000005,196.41193280000005,207.65188800000004
E01000126,Barnet 026A,1776,0.445,2,220.224,230.023968,249.62390399999998,269.22384
E01000127,Barnet 024B,1177,0.407,2,145.948,151.88808360000002,163.76825080000003,175.64841800000002
E01000128,Barnet 024C,1570,0.394,2,194.68,202.35039200000003,217.691176,233.03196000000003
E01000129,Barnet 024D,1240,0.55,1,153.76,162.21679999999998,179.1304,196.04399999999998
E01000130,Barnet 021A,1505,0.318,3,186.62,192.554516,204.42354799999998,216.29258000000002
E01000131,Barnet 024E,1588,0.296,3,196.912,202.74059520000003,214.3977856,226.05497599999998
E01000132,Barnet 021B,1194,0.422,2,148.056,154.30396320000003,166.79988960000003,179.29581600000003
E01000133,Barnet 021C,1256,0.409,2,155.74400000000003,162.1139296,174.85378880000005,187.59364800000003
E01000134,Barnet 024F,1387,0.336,3,171.988,177.7667968,189.3243904,200.881984
E01000135,Barnet 038A,1375,0.147,7,170.5,173.00635,178.01905,183.03175
E01000136,Barnet 038B,1171,0.073,9,145.204,146.26398920000003,148.3839676,150.503946
E01000137,Barnet 041A,1234,0.456,2,153.01600000000002,159.99352960000004,173.94858880000004,187.90364800000003
E01000138,Barnet 040A,1320,0.392,2,163.68,170.09625599999998,182.928768,195.76128
E01000139,Barnet 041B,1134,0.21,5,140.616,143.568936,149.474808,155.38068
E01000140,Barnet 041C,1616,0.239,4,200.38400000000001,205.17317760000003,214.75153280000004,224.329888
E01000141,Barnet 039A,1552,0.416,2,192.448,200.45383680000003,216.4655104,232.477184
E01000142,Barnet 040B,1788,0.395,2,221.712,230.469624,247.984872,265.50012
E01000143,Barnet 041D,1288,0.443,2,159.712,166.7872416,180.93772479999998,195.08820799999998
E01000144,Barnet 038C,1337,0.288,4,165.788,170.5626944,180.11208320000003,189.661472
E01000145,Barnet 037A,1165,0.345,3,144.46,149.44387,159.41161,169.37935
E01000146,Barnet 038D,1572,0.249,4,194.928,199.78170719999997,209.4891216,219.196536
E01000147,Barnet 043F,1590,0.213,5,197.16,201.359508,209.75852400000002,218.15754
E01000150,Barnet 036A,1771,0.373,2,219.604,227.79522920000005,244.17768759999998,260.56014600000003
E01000151,Barnet 026B,1174,0.569,1,145.576,153.85927439999998,170.4258232,186.992372
E01000152,Barnet 026C,1955,0.349,3,242.42,250.88045799999998,267.801374,284.72229
E01000153,Barnet 026D,1463,0.439,2,181.412,189.37598680000002,205.3039604,221.23193400000002
E01000154,Barnet 026E,1512,0.417,2,187.488,195.3062496,210.9427488,226.57924799999998
E01000156,Barnet 022A,1512,0.163,6,187.488,190.5440544,196.65616319999998,202.76827199999997
E01000157,Barnet 022B,1209,0.255,4,149.91600000000003,153.73885800000005,161.38457400000001,169.03029
E01000158,Barnet 015A,1152,0.226,5,142.848,146.0763648,152.53309440000004,158.98982400000003
E01000159,Barnet 015B,1443,0.186,5,178.93200000000002,182.2601352,188.91640560000002,195.572676
E01000160,Barnet 015C,1551,0.229,5,192.324,196.7282196,205.5366588,214.34509800000004
E01000161,Barnet 015D,1595,0.297,3,197.78,203.654066,215.402198,227.15033000000003
