location_id,zapmap_device_uid,power_band,device_max_power
BO2J96T,538H65G,1. Slow,3000
23QHJUW,JW8E0SC,1. Slow,3000
6VY9RWW,9KKJEBN,1. Slow,3000
PFKCSI7,QZEUL2A,1. Slow,3000
E6V8R2B,XINHYJG,1. Slow,3000
RE3XA9U,4ZW15RO,1. Slow,3000
RE3XA9U,5A4HGTI,1. Slow,3000
23QHJUW,YNPHG0Q,1. Slow,3000
3FV8LBP,3MVIE57,1. Slow,3000
RE3XA9U,0EFQYL4,1. Slow,3000
08EIPVJ,T7WGBH3,1. Slow,3000
KCD3QHP,89HGCFV,1. Slow,3000
2Y6N0MY,W1H49IP,1. Slow,3000
6UN85E9,9BZUKDQ,1. Slow,3000
E6V8R2B,CPYQTES,1. Slow,3000
1NCQ0AM,Q58N0SD,1. Slow,3000
23QHJUW,FQY3ABU,1. Slow,3000
AQVOJXN,04DGI39,1. Slow,3000
6UN85E9,1KU87M6,1. Slow,3000
8X6KJQ6,7ENVXCD,1. Slow,3000
2NHJ6LJ,C8HPXSF,1. Slow,3000
23QHJUW,5UNZTVF,1. Slow,3000
1I1VNDG,C4DP639,1. Slow,3000
6VY9RWW,CRUF1KY,1. Slow,3000
AQ7BKO0,12UMZSR,1. Slow,3000
D9BJ0IR,F44SREQ,1. Slow,3000
0LX3N1E,0R4VP97,1. Slow,3000
23QHJUW,U6LVQ7I,1. Slow,3000
CRKJ58P,DBO15LH,1. Slow,3000
BTOU9W3,WAIELQP,1. Slow,3000
1SAQVPX,JEK6GPF,1. Slow,3000
I2A7913,LF0I5ZX,1. Slow,3000
2NHJ6LJ,B8I6L5L,1. Slow,3000
EQND6CM,VM9J75D,1. Slow,3000
2Y6N0MY,3ZF8FRW,1. Slow,3000
CRKJ58P,F2LQVRK,1. Slow,3000
KCD3QHP,BJQJ2SD,1. Slow,3000
TW9DA8B,7EUNI50,1. Slow,3000
VPT76NY,FI4TP0V,1. Slow,3000
23QHJUW,AODWFN8,1. Slow,3000
DBQOF4L,93NAJ04,1. Slow,3000
RLKDMRB,GJEL9R6,1. Slow,3220
9B1Z7LI,1GIMPP2,1. Slow,3400
2IUACFS,3OIO6DK,1. Slow,3400
5EL1NOA,6L48QH9,1. Slow,3400
B7F5X2K,DAFA03T,1. Slow,3400
9SU46BL,DRARWSZ,1. Slow,3400
89248WA,4D6Q38U,1. Slow,3400
ELLHV30,CXYM99A,1. Slow,3400
4641I6M,52C0ASO,1. Slow,3400
9IYMYP9,DZQI3H8,1. Slow,3400
89X9OJ6,DQ1QLUY,1. Slow,3400
B1B9Z8Y,AOBVSL0,1. Slow,3400
9KAPUU5,4QAYGBB,1. Slow,3400
BHUHGG5,6G1KXS6,1. Slow,3400
7GX4TTP,188Z1Q5,1. Slow,3400
UJTWG7A,9Z5KFON,1. Slow,3400
CRDWTEF,ET9GTWP,1. Slow,3400
7DAQU9I,1UGDGI5,1. Slow,3400
3H3PB5S,ENIX4ZQ,1. Slow,3400
3CP6R1S,JM9W6GV,1. Slow,3400
3BZ0H2R,72MS22G,1. Slow,3400
9NMDO7N,73GHO9Q,1. Slow,3400
B7F5X2K,B4O004W,1. Slow,3400
8GBWWLC,6EEDYMM,1. Slow,3400
3IFNSFN,9KWIFFI,1. Slow,3400
1G7FUKQ,DOHCJPI,1. Slow,3400
9RCPSSP,4ANWSMU,1. Slow,3400
BT2UG50,E0T687F,1. Slow,3400
N1ETK1J,7JQJN50,1. Slow,3400
BTLA20Z,96RLSX4,1. Slow,3400
8KJ1AAR,2IYRDUB,1. Slow,3400
454T4NB,2MMH8QN,1. Slow,3400
59GE86M,860OTPJ,1. Slow,3400
D7NXW25,2TCNH74,1. Slow,3400
5J8BKP3,BHAS69R,1. Slow,3400
9GYOQQV,3HUVSCZ,1. Slow,3400
BSADQ5O,5CHF40Z,1. Slow,3400
CKEPE8H,ELU6XB4,1. Slow,3400
6CLVBIA,8GAVVUW,1. Slow,3400
DSK65AR,1CMT5DO,1. Slow,3400
EF1GVFA,7UM10IN,1. Slow,3400
BPMW5DT,7M8Q2BA,1. Slow,3400
6G3KQ9Y,A5JLAUA,1. Slow,3400
15QWJ78,BIX8XCP,1. Slow,3400
DVW1NJH,46QF6JO,1. Slow,3400
9J6TXPL,DOLRC7X,1. Slow,3400
30026XH,APPAL3H,1. Slow,3400
146QHX9,6EEDYMM,1. Slow,3400
75BGOPI,3AW7LG0,1. Slow,3400
173FQ6E,E4X1SRQ,1. Slow,3400
ERYI7YH,BI0VJRO,1. Slow,3400
D1ZY1RK,6UY39MC,1. Slow,3400
ADG6AVU,2W1EMBM,1. Slow,3400
26JM3UP,C39TX3D,1. Slow,3400
B9ACNJX,6LDZHEE,1. Slow,3400
AUKBGRJ,9AG4CM2,1. Slow,3400
2PC0LSD,8J4MUKM,1. Slow,3400
3QK5EW0,C7I360W,1. Slow,3400
8U7HBHZ,8JCXNBG,1. Slow,3400
1XR0WFT,4JTNVUO,1. Slow,3400
EBO8FXK,2IDTMMO,1. Slow,3400
7P4WGNW,JAYY9GU,1. Slow,3400
AY8DP0O,37Q2VAW,1. Slow,3400
146QHX9,20A5E5N,1. Slow,3400
4EJ6WUM,E4T8JHB,1. Slow,3400
8LROJDM,591AXL8,1. Slow,3400
5I3C8HY,98XQWD0,1. Slow,3400
8BJSPOK,6E4CYLK,1. Slow,3400
COL9X5M,DVT5ZXB,1. Slow,3400
3Z7FF5G,83XU56J,1. Slow,3400
3LQWWU9,B90M52X,1. Slow,3400
4XX6YQ5,4H3DRA3,1. Slow,3400
737NB32,AA18C5M,1. Slow,3400
APZQ1EF,A2EUA1C,1. Slow,3400
6C870YK,8CAJK5X,1. Slow,3400
8TTZCL6,1JLL3CK,1. Slow,3400
1TPX5TM,4VBH1HP,1. Slow,3400
4HY2QCR,6KKWGKP,1. Slow,3400
BYPERSR,CPD3WAT,1. Slow,3400
AUKBGRJ,5NJ86E2,1. Slow,3400
934ESWQ,X7NNMG3,1. Slow,3400
C137B9D,ACQPB4A,1. Slow,3400
257QDNB,82HUUID,1. Slow,3400
EB6WW2F,3LXFG5B,1. Slow,3400
41ONPZ8,2GTTFP9,1. Slow,3400
D152EL4,DTZDW4W,1. Slow,3400
3PTBS95,AWPKPJ5,1. Slow,3400
7M4UCKL,BXHOE0V,1. Slow,3400
CRRQ9F1,BZ9M6TI,1. Slow,3400
1T6P9IX,B0PXV8F,1. Slow,3400
EQLB92R,AN342JB,1. Slow,3400
8H90JUB,ESTTLXY,1. Slow,3400
185OEYW,DVUQKC0,1. Slow,3400
6XOB73D,BAVX4D8,1. Slow,3400
5OQ8ZA8,EY5ZMCZ,1. Slow,3400
32318MD,1BKEFU4,1. Slow,3400
E13XEGZ,6RXOITM,1. Slow,3400
6KEMLQ7,1O00WWH,1. Slow,3400
COWWBAG,D6QTJB9,1. Slow,3400
CQQ7T85,56LGWUF,1. Slow,3400
55AHJSN,1PGXVWW,1. Slow,3400
97XL8DP,C1T2L7T,1. Slow,3400
62XJCOP,79BXC6S,1. Slow,3400
E345ZKW,3TZ5I7R,1. Slow,3400
6TADUQF,F1L7Y98,1. Slow,3400
COQ454Q,BU37NJ9,1. Slow,3400
79KTY9I,1GXW5UO,1. Slow,3400
6OJENIH,36LH5IZ,1. Slow,3400
D7NXW25,3IVKX0P,1. Slow,3400
CY4Q1W2,4PL6Y8R,1. Slow,3400
4I6TIPE,7H1A050,1. Slow,3400
C6GDZCN,8XMH4H6,1. Slow,3400
Q9RH0WD,ZZHP52H,1. Slow,3450
LZVKQJY,RZRX7QA,1. Slow,3450
PPVUSAH,O8JFLFS,1. Slow,3450
M9MXLTE,DMFZ58J,1. Slow,3450
GQY46AN,STVWSP7,1. Slow,3450
2ZVVF80,WAFB3UI,1. Slow,3450
RYYAHR1,IRBU8GX,1. Slow,3450
O0UFLTL,NIPMI7D,1. Slow,3450
JS2SOEY,OG5LQDI,1. Slow,3450
HECC12A,BZFWRYK,1. Slow,3450
BGSOGLD,4BHTHKN,1. Slow,3450
O9PGWBT,1B89TUE,1. Slow,3450
XSFV9QL,UHKUHAQ,1. Slow,3450
1YP6GGX,8X4BJKA,1. Slow,3450
TMLJIJV,MUJJSLK,1. Slow,3450
VUBFLRJ,SG27KAY,1. Slow,3450
OL0FRB8,KWX6TDP,1. Slow,3450
BQ7OOJH,SG2F9YT,1. Slow,3450
ZEWDZ9T,0H5LFNU,1. Slow,3450
YLATNHB,RIFNCF3,1. Slow,3450
LWDLBUG,IBAU7SI,1. Slow,3450
2TJ847Y,QFQHXSZ,1. Slow,3450
8C5C3RJ,3UW84NN,1. Slow,3450
O3DKWX2,QODHTTQ,1. Slow,3450
TII6R3I,SGACW1O,1. Slow,3450
UONJPQG,VMA9WTZ,1. Slow,3450
QBPTYWI,B8RLYQI,1. Slow,3450
XIYP1CI,DSWWP1Y,1. Slow,3450
XDKBML9,8I02WV0,1. Slow,3450
PHHDFQC,UPKGOYB,1. Slow,3450
7OUJ4YL,KK5ZPZ0,1. Slow,3450
17RGEX0,XGNIONS,1. Slow,3450
0MNTFP9,YTJGB1B,1. Slow,3450
NTWBPPF,7V8IEPO,1. Slow,3450
JDDIZZ7,D2KXYKG,1. Slow,3450
JGIE6LB,HJNF8DK,1. Slow,3450
1EB6GR3,DUJU09Y,1. Slow,3450
AR1SI8S,HCSINIO,1. Slow,3450
9DJB3XV,DMSOOAO,1. Slow,3450
AKJD01J,W1M9AWZ,1. Slow,3450
