lsoa_code,xj_A_p2000,sj_A_p2000,xj_B_p2000,sj_B_p2000,xj_C_p2000,sj_C_p2000,xj_D_p2000,sj_D_p2000,xj_A_p5000,sj_A_p5000,xj_B_p5000,sj_B_p5000,xj_C_p5000,sj_C_p5000,xj_D_p5000,sj_D_p5000,xj_A_p8000,sj_A_p8000,xj_B_p8000,sj_B_p8000,xj_C_p8000,sj_C_p8000,xj_D_p8000,sj_D_p8000
E01000099,9,2.6175391,9,6.77216,10,1.9137979,0,141.89908,9,2.6175391,9,6.77216,10,1.9137979,10,10.22304,9,2.6175391,9,6.77216,10,1.9137979,10,10.22304
E01000100,0,77.902597,0,80.559076,0,85.872033,0,91.18499,0,77.902597,0,80.559076,0,85.872033,0,91.18499,0,77.902597,6,1.5534527,0,85.872033,6,12.179367
E01000101,0,57.127174,0,60.058466,0,65.92105,0,71.783635,4,4.4567582,0,60.058466,0,65.92105,0,71.783635,0,57.127174,4,7.3880504,0,65.92105,0,71.783635
E01000102,0,72.625325,0,75.987877,0,82.712982,0,89.438087,0,72.625325,0,75.987877,6,3.707359,6,10.432464,5,6.7873053,5,10.149858,6,3.707359,6,10.432464
E01000103,0,77.525649,0,80.386346,0,86.107739,0,91.829132,0,77.525649,0,80.386346,0,86.107739,0,91.829132,5,11.68763,6,1.3807225,0,86.107739,6,12.823508
E01000104,0,74.007468,0,77.278598,0,83.820858,0,90.363118,0,74.007468,0,77.278598,0,83.820858,0,90.363118,5,8.1694481,5,11.440578,6,4.8152344,6,11.357495
E01000105,0,81.29513,0,85.12413,0,92.782132,0,100.44013,0,81.29513,0,85.12413,0,92.782132,0,100.44013,6,2.2895066,6,6.1185072,7,0.60890453,7,8.2669058
E01000106,0,79.912987,0,84.499992,0,93.674003,0,102.84801,0,79.912987,0,84.499992,0,93.674003,0,102.84801,6,0.9073637,6,5.4943692,7,1.5007762,7,10.674787
E01000107,0,79.787338,0,82.316596,0,87.375113,0,92.433631,0,79.787338,0,82.316596,0,87.375113,7,0.26040349,6,0.78171435,6,3.310973,6,8.3694902,7,0.26040349
E01000108,0,78.907792,6,2.687614,6,8.2585041,7,0.66179034,5,13.069773,6,2.687614,6,8.2585041,7,0.66179034,5,13.069773,6,2.687614,6,8.2585041,7,0.66179034
