evse_uid,total_duration_min,location_id,latitude,longitude,ur_j
018e85b5da5d4b10b85b67aaef23ebe0,5268.4666665,KERKL8M,51.320957,-0.136397,0.12195524690972223
018f42695253caefeaeddc7c797836fd,533.8166666666666,93H3T16,51.50373,-0.11264,0.012356867283950615
018ffa1e01d94ef58d1b5c0e094eb9f7,60.0,JCMN8XN,51.46702,-0.19539,0.001388888888888889
019857ff1ec24755bfca5e099dff5c7c,831.3833333333334,BZVFNAO,51.525481,-0.171451,0.019244984567901236
019dbaa218d64f7b8ec54eb109d60ea6,1752.4999999833335,AWHXJKT,51.439248,-0.202543,0.04056712962924383
01a3777b684e3f016a4b3e155fe2b24c,5.066666666666666,AUODZTM,51.465591,0.185492,0.00011728395061728394
01a3cf455f3372c919a7ad2b94a3c5f9,2877.216666616667,6NIS4LH,51.524314,-0.209725,0.06660223765316359
01a577d4512f4476a656b01f5e8cc0a4,2028.9166666666667,JWGUKPJ,51.576542,-0.349722,0.04696566358024692
01a59690d188fd369fd0e2ed4968c551,580.81666665,A0LSOY4,51.52338,-0.083101,0.013444830246527777
01a5d70f0dda4bde8211bd31d614f957,910.0166666666667,DX6HLDS,51.477847,-0.193557,0.02106520061728395
01a85ba2dbef59d5911b95a739a05666,367.26666666666665,5S967YO,51.512417,-0.048245,0.008501543209876544
01ab42ae30de2a8e5c1ddb9baa45d304,16956.866666349997,WAIX5V5,51.53299,-0.325599,0.39252006172106474
01ac9426591e4121849b76845725a058,1355.9833333333333,VKZ2ALB,51.535046,-0.394476,0.03138850308641975
01ae8c71c70843d482474cec02b94ad6,693.3333333333334,V78Z8DY,51.490737,-0.143498,0.016049382716049384
01afd8bf0701ab3c14fcaadbb8ae838f,692.4833333166666,8PR6O8X,51.512002,-0.022403,0.016029706789737655
01b0de9bc6ea49013d68cf16caacc2f3,1303.8833332833333,6EU40VC,51.551337,0.010148,0.030182484566743824
01b1ee13a3d7de8504af80b52c12feab,882.1333333166667,RF8UJ31,51.492528,-0.164682,0.020419753086033953
01b2c002d3e03fd9332857180a10745c,673.4666666666667,J53KGRP,51.501603,-0.187545,0.015589506172839506
01b560c4fc500958cc8cdd003c6fcec4,8.216666666666667,QPSHG5K,51.495978,-0.151376,0.00019020061728395061
01b750fef3b252bbf704eeb085267ae7,237.46666666666667,ACEK1OH,51.460385,-0.165574,0.005496913580246914
01ba3eecffd34428b9a2333ebb75ac3b,1679.4,CLDJOWK,51.50444,-0.198942,0.038875
01bea4177f17316a7898b7f0edac6536,630.15,CXZ2PVT,51.511712,-0.060773,0.014586805555555554
01c403294ad54b7e958383a9d590402d,771.21666665,QAAHZEX,51.506974,-0.32301,0.017852237653935184
01c40d7f028dc3bf8b49f467723c4254,292.49999995,E7UDS16,51.443845,0.063471,0.006770833332175926
01cbd79c01add965cb694dce6c22be5a,721.25,C4MP6A7,51.40502,-0.34109,0.01669560185185185
01d784d686707f9efb53de61bc388747,24.916666666666668,D152EL4,51.481741,-0.119338,0.0005767746913580247
01d877f7053b45a08d9b9583bbacdaf9,3909.1833333333325,VB9FBUP,51.486625,-0.089946,0.09049035493827158
01df325b535f221ec1a79f7548fec50e,3768.4833330166653,V9RU0AZ,51.454256,-0.21128,0.08723341048649688
01e7a5cb2ad44888e014c2b3ea134d0e,12.233333333333333,E5XODL3,51.560202,0.084097,0.000283179012345679
01ea28e1ce21b3d5c07d9822e9d46002,3758.3333332999996,48R1H6X,51.468956,0.005032,0.08699845678935184
01ead07a8a5d212378fbc88f9fec40a3,10.016666666666667,2BJ2T20,51.47609,-0.212992,0.0002318672839506173
01ec42bd59e9cbffb9204096aa21db2b,16807.766666116662,4U3WY68,51.519975,-0.228609,0.3890686728267746
01ef2b29e7ba6c4414c1b4281a43fcd4,863.0,7QCONQE,51.527265,-0.01447,0.019976851851851853
01efcdfbc28a435370b0e27e65ea2030,710.9333333333333,C6PABEH,51.579051,-0.02097,0.01645679012345679
01f0324a24359b969da1019efd479ff1,3515.2833333333333,6I0MLTD,51.441627,-0.049978,0.08137229938271605
01f41ef538674bdbb8dc8cd909e04119,1480.8166666500001,BYUDFRX,51.52415,-0.178617,0.03427816357986111
01fb33efc9302e26261b1a16b18f91fa,9524.583333316667,496VUI3,51.480937,-0.140737,0.2204764660489969
01feaf7fa9b1b63d8398f073e81e8c35,1027.8833333,1GXBPTO,51.375901,-0.015888,0.023793595678240742
02061acca346fbd548647bb5aa1fd0c2,1423.9166666666667,ED4QJXF,51.478707,-0.22035,0.03296103395061729
020af1181bea8104f1c97d317e9695f2,210.13333333333333,4FS3CFN,51.598143,-0.207588,0.004864197530864197
020bb5737119496fbcb493911b08b7b4,449.9999999833333,EHSMTAI,51.478645,-0.222015,0.010416666666280864
020e88f175187134ecd3056219e3753d,1297.3000000000002,5C6KA3I,51.492156,-0.006401,0.030030092592592598
02124152e8684fa2a6868160890b8982,86.51666666666667,JLFXYNO,51.547096,-0.190637,0.0020027006172839506
0212690e87494eb27d648a45d25bcf2b,301.3833333333334,ST9RVHJ,51.513564,-0.189719,0.006976466049382717
0213486167ac5ac775347fb7fa8d24ea,8.833333333333332,832UHEO,51.552253,0.007268,0.00020447530864197528
02145157a4574f25bb336fb840d4ab8f,579.9499999666667,M9C2NH9,51.47556,-0.204362,0.013424768517746915
0217c487da2c5f889111945720078e2f,893.6,X38WPCR,51.545154,0.064561,0.020685185185185185
021f00a858ba1f96d7771179dd3d807b,1.2166666666666666,62SDPD0,51.56247,-0.00133,2.8163580246913578e-05
02228226d2c34f8a9000f6ec79ad832c,1834.9333333333332,OGF3QVW,51.472417,-0.207447,0.0424753086419753
0226ee83bb2140dec4a9b49efd5a7872,419.08333333333337,C48FY4X,51.55171,-0.170202,0.009701003086419755
022ad759c5d340599bf55d31f49a10be,16.666666666666668,BM9X0XF,51.519614,-0.150098,0.0003858024691358025
022d60da4b44c2a95f1943c6229a25e9,467.0666666666667,3YHIJZV,51.536821,-0.057221,0.01081172839506173
02300d3b646b4420b46568f1773e2251,479.55,NZ7BG5Q,51.45819,-0.20578,0.011100694444444444
02329cf7f7f04b2e8c9029d99b0f39a9,1105.3333333166665,XDPGO0R,51.584928,-0.065906,0.025586419752700613
0233c2c3b644b2d8a8d1449e8f5ae094,4729.216666666667,OEKYSQJ,51.519876,-0.215411,0.10947260802469137
02353f66af9c00ea4f199eb2c1a8a2bf,4602.766666649999,5Q7T8RN,51.524382,-0.044708,0.1065455246909722
0238f19f8ca97311f571291f7c043812,801.8999999833334,6YU9ATA,51.55469,-0.006978,0.0185624999996142
0239589e486dc06328600620f74f400e,1741.2,2HO1JMW,51.519944,-0.212036,0.04030555555555556
023fc1b47a24edf8651d18d200a8af3c,12079.833333166662,K7Q8BME,51.577969,0.185131,0.27962577160108015
